date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,255.0,259.5,252.0,255.9,0.35,103935.0,26628626.3,2022,4.48,42.15,4.16,5.26
2022-01-03,259.9,262.0,256.0,256.0,0.04,97521.0,25274719.9,2022,4.48,42.15,4.16,5.26
2022-01-04,261.0,265.0,252.9,264.0,3.13,143713.0,37295944.3,2022,4.48,42.15,4.16,5.26
2022-01-05,269.2,279.0,265.0,268.2,1.59,390859.0,106501656.8,2022,4.48,42.15,4.16,5.26
2022-01-06,268.2,276.0,266.0,274.0,2.16,217480.0,59492701.3,2022,4.48,42.15,4.16,5.26
2022-01-09,274.0,299.5,274.0,299.4,9.27,543960.0,156671774.3,2022,4.48,42.15,4.16,5.26
2022-01-10,305.0,318.0,301.0,313.9,4.84,677824.0,210374664.9,2022,4.48,42.15,4.16,5.26
2022-01-11,320.0,320.0,306.0,314.5,0.19,341447.0,107195143.8,2022,4.48,42.15,4.16,5.26
2022-01-12,314.5,340.0,309.0,324.0,3.02,844610.0,276199899.7,2022,4.48,42.15,4.16,5.26
2022-01-13,330.0,339.5,321.0,337.6,4.2,660248.0,219464668.2,2022,4.48,42.15,4.16,5.26
2022-01-16,344.3,355.0,339.0,344.0,1.9,668394.0,232132304.7,2022,4.48,42.15,4.16,5.26
2022-01-17,344.0,349.0,335.1,340.5,-1.02,458636.0,156270411.6,2022,4.48,42.15,4.16,5.26
2022-01-18,340.5,345.0,320.1,330.0,-3.08,464935.0,154223716.8,2022,4.48,42.15,4.16,5.26
2022-01-19,333.0,333.0,318.0,321.5,-2.58,473565.0,153152070.6,2022,4.48,42.15,4.16,5.26
2022-01-20,327.0,336.8,316.3,336.5,4.67,397574.0,130602985.2,2022,4.48,42.15,4.16,5.26
2022-01-23,340.0,342.5,325.9,328.0,-2.53,374635.0,124825122.6,2022,4.48,42.15,4.16,5.26
2022-01-24,326.0,328.0,312.0,317.0,-3.35,589611.0,187710980.6,2022,4.48,42.15,4.16,5.26
2022-01-25,323.3,324.0,311.0,314.6,-0.76,363571.0,115342819.9,2022,4.48,42.15,4.16,5.26
2022-01-26,320.0,320.0,306.1,308.0,-2.1,317925.0,98680958.0,2022,4.48,42.15,4.16,5.26
2022-01-27,310.0,314.0,309.0,310.0,0.65,271564.0,84496642.4,2022,4.48,42.15,4.16,5.26
2022-01-30,316.2,334.0,316.2,332.5,7.26,703616.0,230398376.8,2022,4.48,42.15,4.16,5.26
2022-01-31,339.1,365.0,335.0,357.0,7.37,1636783.0,571278639.7,2022,4.48,42.15,4.16,5.26
2022-02-01,362.0,366.0,349.0,358.5,0.42,833880.0,300484395.0,2022,4.48,42.15,4.16,5.26
2022-02-03,360.0,366.0,350.0,350.0,-2.37,681834.0,243735136.7,2022,4.48,42.15,4.16,5.26
2022-02-06,355.0,355.0,336.0,336.9,-3.74,601352.0,204726383.9,2022,4.48,42.15,4.16,5.26
2022-02-07,330.2,354.0,330.2,350.1,3.92,618812.0,214438632.3,2022,4.48,42.15,4.16,5.26
2022-02-08,357.1,361.9,336.0,340.0,-2.88,862340.0,301251352.0,2022,4.48,42.15,4.16,5.26
2022-02-09,338.0,342.0,331.0,335.1,-1.44,329960.0,110263744.5,2022,4.48,42.15,4.16,5.26
2022-02-10,341.8,343.7,330.1,335.0,-0.03,409300.0,137617821.2,2022,4.48,42.15,4.16,5.26
2022-02-13,328.3,328.4,312.0,317.9,-5.1,527946.0,168881264.8,2022,4.48,42.15,4.16,5.26
2022-02-14,318.0,326.9,315.0,318.2,0.09,326690.0,105131172.6,2022,4.48,42.15,4.16,5.26
