date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,754.8,773.0,730.0,769.0,3.92,73533.0,55902252.3,2022,39.13,18.1,19.54,0.0
2022-01-03,769.0,788.4,765.0,784.0,1.95,78276.0,61074703.9,2022,39.13,18.1,19.54,0.0
2022-01-04,790.0,813.7,772.0,807.8,3.04,79587.0,63193949.7,2022,39.13,18.1,19.54,0.0
2022-01-05,819.9,819.9,792.0,795.0,-1.58,78208.0,62536250.3,2022,39.13,18.1,19.54,0.0
2022-01-06,782.0,839.0,782.0,838.0,5.41,178781.0,145219148.4,2022,39.13,18.1,19.54,0.0
2022-01-09,854.7,871.0,850.0,867.1,3.47,162594.0,139935027.2,2022,39.13,18.1,19.54,0.0
2022-01-10,870.0,879.0,852.0,860.0,-0.82,160045.0,138215461.9,2022,39.13,18.1,19.54,0.0
2022-01-11,870.0,872.0,855.0,864.5,0.52,83864.0,72545031.1,2022,39.13,18.1,19.54,0.0
2022-01-12,870.0,889.5,863.0,866.0,0.17,170915.0,149127990.5,2022,39.13,18.1,19.54,0.0
2022-01-13,868.0,890.0,861.0,880.5,1.67,94487.0,83119715.4,2022,39.13,18.1,19.54,0.0
2022-01-16,895.0,912.0,882.0,900.0,2.21,137916.0,123808949.3,2022,39.13,18.1,19.54,0.0
2022-01-17,918.0,918.0,893.0,898.0,-0.22,111345.0,100031851.4,2022,39.13,18.1,19.54,0.0
2022-01-18,900.0,927.0,899.0,914.0,1.78,207182.0,190108363.6,2022,39.13,18.1,19.54,0.0
2022-01-19,932.2,932.2,910.0,912.0,-0.22,145505.0,133370636.5,2022,39.13,18.1,19.54,0.0
2022-01-20,912.0,920.0,901.6,917.0,0.55,116652.0,106404141.5,2022,39.13,18.1,19.54,0.0
2022-01-23,935.0,935.3,899.0,903.0,-1.53,191997.0,175263196.5,2022,39.13,18.1,19.54,0.0
2022-01-24,900.0,900.0,866.0,866.2,-4.08,419335.0,367364527.5,2022,39.13,18.1,19.54,0.0
2022-01-25,850.0,883.0,845.2,867.0,0.09,227148.0,196874184.1,2022,39.13,18.1,19.54,0.0
2022-01-26,868.0,873.0,856.0,860.0,-0.81,109049.0,93917145.7,2022,39.13,18.1,19.54,0.0
2022-01-27,861.0,869.9,856.0,859.6,-0.05,56260.0,48363360.9,2022,39.13,18.1,19.54,0.0
2022-01-30,876.7,888.0,872.0,883.0,2.72,99204.0,87055768.7,2022,39.13,18.1,19.54,0.0
2022-01-31,890.0,890.0,870.1,872.0,-1.25,65157.0,57041932.3,2022,39.13,18.1,19.54,0.0
2022-02-01,875.0,883.0,865.0,870.0,-0.23,58118.0,50707160.6,2022,39.13,18.1,19.54,0.0
2022-02-03,870.0,877.0,860.0,860.4,-1.1,150826.0,130653042.5,2022,39.13,18.1,19.54,0.0
2022-02-06,856.0,860.0,845.0,853.0,-0.86,72123.0,61459588.4,2022,39.13,18.1,19.54,0.0
2022-02-07,853.0,858.0,839.0,843.0,-1.17,59770.0,50503450.3,2022,39.13,18.1,19.54,0.0
2022-02-08,855.0,872.0,826.0,837.0,-0.71,86778.0,72856295.0,2022,39.13,18.1,19.54,0.0
2022-02-09,840.0,840.0,821.0,828.0,-1.08,87317.0,72331456.2,2022,39.13,18.1,19.54,0.0
2022-02-10,830.0,839.0,814.0,818.0,-1.21,95660.0,78333501.4,2022,39.13,18.1,19.54,0.0
2022-02-13,802.0,811.0,789.0,807.0,-1.34,180844.0,144338091.7,2022,39.13,18.1,19.54,0.0
2022-02-14,811.0,814.0,798.0,805.0,-0.25,65371.0,52459382.0,2022,39.13,18.1,19.54,0.0
2022-02-15,805.0,810.0,802.0,805.0,0.0,45673.0,36821646.3,2022,39.13,18.1,19.54,0.0
2022-02-16,806.0,815.0,803.0,807.0,0.25,43171.0,34835752.9,2022,39.13,18.1,19.54,0.0
2022-02-17,805.0,816.0,804.0,816.0,1.12,55936.0,45273568.4,2022,39.13,18.1,19.54,0.0
2022-02-20,799.7,812.0,790.0,803.1,-1.58,58816.0,47104309.4,2022,39.13,18.1,19.54,0.0
2022-02-21,808.0,810.0,798.0,806.1,0.37,30102.0,24132081.9,2022,39.13,18.1,19.54,0.0
2022-02-22,806.0,815.0,802.0,808.0,0.24,37501.0,30314745.8,2022,39.13,18.1,19.54,0.0
2022-02-23,810.0,810.0,801.0,804.0,-0.5,26347.0,21165563.7,2022,39.13,18.1,19.54,0.0
2022-02-24,804.0,804.0,785.0,790.0,-1.74,62153.0,49201909.5,2022,39.13,18.1,19.54,0.0
2022-02-27,790.0,800.0,777.7,783.0,-0.89,94586.0,74506582.6,2022,39.13,18.1,19.54,0.0
2022-02-28,798.0,798.0,771.0,773.0,-1.28,55256.0,42992657.9,2022,39.13,18.1,19.54,0.0
2022-03-02,770.0,775.0,760.0,762.0,-1.42,76482.0,58353262.4,2022,39.13,18.1,19.54,0.0
2022-03-06,777.2,785.0,755.0,768.0,0.79,36346.0,27808137.4,2022,39.13,18.1,19.54,0.0
2022-03-07,770.0,774.9,747.0,774.0,0.78,138577.0,105027582.7,2022,39.13,18.1,19.54,0.0
2022-03-09,785.0,785.0,750.0,760.0,-1.81,138776.0,104851922.1,2022,39.13,18.1,19.54,0.0
2022-03-10,760.0,762.0,747.0,758.0,-0.26,165638.0,124611575.7,2022,39.13,18.1,19.54,0.0
2022-03-13,769.0,790.0,758.0,782.0,3.17,93422.0,72246417.7,2022,39.13,18.1,19.54,0.0
2022-03-14,785.0,789.0,770.0,778.0,-0.51,29363.0,22858634.1,2022,39.13,18.1,19.54,0.0
2022-03-15,780.0,781.0,770.0,772.0,-0.77,50282.0,38972617.4,2022,39.13,18.1,19.54,0.0
